date,price
20-Jan,3.567
19-Dec,3.627
19-Nov,3.778
19-Oct,3.742
19-Sep,3.618
19-Aug,3.653
19-Jul,3.731
19-Jun,3.829
19-May,3.929
19-Apr,3.75
19-Mar,3.392
19-Feb,3.374
19-Jan,3.441
18-Dec,3.584
18-Nov,3.785
18-Oct,3.8
18-Sep,3.684
18-Aug,3.677
18-Jul,3.713
18-Jun,3.738
18-May,3.713
18-Apr,3.575
18-Mar,3.417
18-Feb,3.337
18-Jan,3.264
17-Dec,3.253
17-Nov,3.289
17-Oct,3.243
17-Sep,3.346
17-Aug,3.163
17-Jul,3.101
17-Jun,3.143
17-May,3.166
17-Apr,3.166
17-Mar,3.1
17-Feb,3.013
17-Jan,3.007
16-Dec,2.862
16-Nov,2.924
16-Oct,2.982
16-Sep,2.946
16-Aug,2.866
16-Jul,2.925
16-Jun,2.903
16-May,2.793
16-Apr,2.584
16-Mar,2.487
16-Feb,2.372
16-Jan,2.673
15-Dec,2.704
15-Nov,2.726
15-Oct,2.769
15-Sep,3.005
15-Aug,3.321
15-Jul,3.42
15-Jun,3.348
15-May,3.272
15-Apr,3.017
15-Mar,3.115
15-Feb,2.605
15-Jan,2.645
14-Dec,3.131
14-Nov,3.389
14-Oct,3.708
14-Sep,4.05
14-Aug,4.137
14-Jul,4.213
14-Jun,4.205
14-May,4.133
14-Apr,4.05
14-Mar,3.835
14-Feb,3.612
14-Jan,3.633
13-Dec,3.597
13-Nov,3.585
13-Oct,3.819
13-Sep,3.986
13-Aug,4.082
13-Jul,4.13
13-Jun,4.117
13-May,4.187
13-Apr,3.955
13-Mar,4.086
13-Feb,3.916
13-Jan,3.662
12-Dec,3.645
12-Nov,3.816
12-Oct,4.248
12-Sep,4.285
12-Aug,4.136
12-Jul,3.872
12-Jun,4.328
12-May,4.462
12-Apr,4.381
12-Mar,4.302
12-Feb,3.943
12-Jan,3.755
11-Dec,3.783
11-Nov,3.991
11-Oct,4.055
11-Sep,4.121
11-Aug,4.041
11-Jul,4.045
11-Jun,4.127
11-May,4.253
11-Apr,4.122
11-Mar,3.934
11-Feb,3.601
11-Jan,3.463
10-Dec,3.391
10-Nov,3.315
10-Oct,3.249
10-Sep,3.218
10-Aug,3.299
10-Jul,3.222
10-Jun,3.185
10-May,3.255
10-Apr,3.269
10-Mar,3.174
10-Feb,3.028
10-Jan,3.068
9-Dec,3.008
9-Nov,3.037
9-Oct,2.996
9-Sep,3.14
9-Aug,3.043
9-Jul,2.958
9-Jun,2.995
9-May,2.682
9-Apr,2.519
9-Mar,2.376
9-Feb,2.361
9-Jan,2.211
8-Dec,2.067
8-Nov,2.535
8-Oct,3.422
8-Sep,3.972
8-Aug,4.215
8-Jul,4.511
8-Jun,4.502
8-May,4.054
8-Apr,3.782
8-Mar,3.684
8-Feb,3.327
8-Jan,3.33
7-Dec,3.347
7-Nov,3.413
7-Oct,3.178
7-Sep,3.065
7-Aug,3
7-Jul,3.156
7-Jun,3.363
7-May,3.607
7-Apr,3.299
7-Mar,2.942
7-Feb,2.661
7-Jan,2.814
6-Dec,2.808
6-Nov,2.665
6-Oct,2.701
6-Sep,2.987
6-Aug,3.205
6-Jul,3.224
6-Jun,3.299
6-May,3.322
6-Apr,2.939
6-Mar,2.624
6-Feb,2.472
6-Jan,2.424
5-Dec,2.414
5-Nov,2.669
5-Oct,2.981
5-Sep,3.077
5-Aug,2.815
5-Jul,2.624
5-Jun,2.492
5-May,2.633
5-Apr,2.634
5-Mar,2.356
5-Feb,2.146
5-Jan,2.032
4-Dec,2.129
4-Nov,2.249
4-Oct,2.261
4-Sep,2.199
4-Aug,2.159
4-Jul,2.212
4-Jun,2.402
4-May,2.417
4-Apr,2.125
4-Mar,2.012
4-Feb,1.895
4-Jan,1.805
3-Dec,1.713
3-Nov,1.762
3-Oct,1.831
3-Sep,2.052
3-Aug,1.935
3-Jul,1.781
3-Jun,1.757
3-May,