date,prices
20-Jan,3.192
19-Dec,3.217
19-Nov,3.297
19-Oct,3.335
19-Sep,3.251
19-Aug,3.261
19-Jul,3.362
19-Jun,3.364
19-May,3.505
19-Apr,3.417
19-Mar,3.107
19-Feb,2.936
19-Jan,2.904
18-Dec,3.03
18-Nov,3.294
18-Oct,3.472
18-Sep,3.428
18-Aug,3.421
18-Jul,3.441
18-Jun,3.48
18-May,3.46
18-Apr,3.268
18-Mar,3.109
18-Feb,3.106
18-Jan,3.07
17-Dec,2.992
17-Nov,3.067
17-Oct,3.019
17-Sep,3.161
17-Aug,2.884
17-Jul,2.805
17-Jun,2.849
17-May,2.885
17-Apr,2.907
17-Mar,2.819
17-Feb,2.8
17-Jan,2.839
16-Dec,2.751
16-Nov,2.685
16-Oct,2.734
16-Sep,2.698
16-Aug,2.649
16-Jul,2.708
16-Jun,2.816
16-May,2.724
16-Apr,2.566
16-Mar,2.421
16-Feb,2.242
16-Jan,2.424
15-Dec,2.509
15-Nov,2.611
15-Oct,2.718
15-Sep,2.79
15-Aug,3.03
15-Jul,3.172
15-Jun,3.17
15-May,3.087
15-Apr,2.845
15-Mar,2.829
15-Feb,2.594
15-Jan,2.525
14-Dec,2.943
14-Nov,3.29
14-Oct,3.543
14-Sep,3.755
14-Aug,3.833
14-Jul,3.955
14-Jun,4.024
14-May,4.017
14-Apr,3.991
14-Mar,3.86
14-Feb,3.707
14-Jan,3.671
13-Dec,3.637
13-Nov,3.597
13-Oct,3.684
13-Sep,3.855
13-Aug,3.896
13-Jul,3.904
13-Jun,3.909
13-May,3.888
13-Apr,3.876
13-Mar,4.016
13-Feb,3.969
13-Jan,3.644
12-Dec,3.627
12-Nov,3.764
12-Oct,4.041
12-Sep,4.124
12-Aug,3.989
12-Jul,3.705
12-Jun,3.793
12-May,3.995
12-Apr,4.162
12-Mar,4.101
12-Feb,3.851
12-Jan,3.651
11-Dec,3.536
11-Nov,3.649
11-Oct,3.708
11-Sep,3.86
11-Aug,3.894
11-Jul,3.9
11-Jun,3.929
11-May,4.15
11-Apr,4.036
11-Mar,3.802
11-Feb,3.45
11-Jan,3.338
10-Dec,3.24
10-Nov,3.103
10-Oct,3.037
10-Sep,2.938
10-Aug,2.968
10-Jul,2.965
10-Jun,2.973
10-May,3.079
10-Apr,3.08
10-Mar,3.008
10-Feb,2.893
10-Jan,2.957
9-Dec,2.856
9-Nov,2.895
9-Oct,2.789
9-Sep,2.796
9-Aug,2.856
9-Jul,2.773
9-Jun,2.857
9-May,2.494
9-Apr,2.284
9-Mar,2.194
9-Feb,2.16
9-Jan,2.021
8-Dec,1.946
8-Nov,2.418
8-Oct,3.321
8-Sep,3.944
8-Aug,4.022
8-Jul,4.298
8-Jun,4.284
8-May,3.991
8-Apr,3.679
8-Mar,3.465
8-Feb,3.256
8-Jan,3.277
7-Dec,3.252
7-Nov,3.297
7-Oct,3.028
7-Sep,3.011
7-Aug,3.004
7-Jul,3.172
7-Jun,3.263
7-May,3.331
7-Apr,3.052
7-Mar,2.766
7-Feb,2.479
7-Jan,2.459
6-Dec,2.52
6-Nov,2.436
6-Oct,2.458
6-Sep,2.783
6-Aug,3.163
6-Jul,3.181
6-Jun,3.088
6-May,3.113
6-Apr,2.944
6-Mar,2.618
6-Feb,2.485
6-Jan,2.522
5-Dec,2.383
5-Nov,2.465
5-Oct,2.934
5-Sep,3.121
5-Aug,2.679
5-Jul,2.483
5-Jun,2.347
5-May,2.357
5-Apr,2.429
5-Mar,2.263
5-Feb,2.101
5-Jan,2.029
4-Dec,2.046
4-Nov,2.175
4-Oct,2.187
4-Sep,2.059
4-Aug,2.067
4-Jul,2.104
4-Jun,2.162
4-May,2.159
4-Apr,1.979
4-Mar,1.923
4-Feb,1.837
4-Jan,1.763
3-Dec,1.673
3-Nov,1.702
3-Oct,1.753
3-Sep,1.865
3-Aug,1.799
3-Jul,1.697
3-Jun,1.674
3-May,1.686
3-Apr,1.78
3-Mar,1.875
3-Feb,1.798
3-Jan,1.65
2-Dec,1.58
2-Nov,1.607
2-Oct,1.629
2-Sep,1.586
2-Aug,1.583
2-Jul,1.58
2-Jun,1.567
2-May,1.58
2-Apr,1.582
2-Mar,1.427
2-Feb,1.297
2-Jan,1.292
1-Dec,1.271
1-Nov,1.357
1-Oct,1.499
1-Sep,1.682
1-Aug,1.601
1-Jul,1.622
1-Jun,1.801
1-May,1.869
1-Apr,1.732
1-Mar,1.596
1-Feb,1.635
1-Jan,1.63
Dec-00,1.628
Nov-00,1.697
Oct-00,1.71
Sep-00,1.725
Aug-00,1.653
Jul-00,1.735
Jun-00,1.789
May-00,1.667
Apr-00,1.651
Mar-00,1.696
Feb-00,1.552
Jan-00,1.471
Dec-99,1.458
Nov-99,1.436
Oct-99,1.431
Sep-99,1.437
Aug-99,1.401
Jul-99,1.337
Jun-99,1.297
May-99,1.314
Apr-99,1.31
Mar-99,1.166
Feb-99,1.112
Jan-99,1.128
Dec-98,1.137
Nov-98,1.183
Oct-98,1.204
Sep-98,1.193
Aug-98,1.207
Jul-98,1.234
Jun-98,1.241
May-98,1.244
Apr-98,1.216
Mar-98,1.203
Feb-98,1.237
Jan-98,1.273
Dec-97,1.316
Nov-97,1.354
Oct-97,1.379
Sep-97,1.411
Aug-97,1.401
Jul-97,1.354
Jun-97,1.373
May-97,1.378
Apr-97,1.381
Mar-97,1.389
Feb-97,1.413
Jan-97,1.419
Dec-96,1.418
Nov-96,1.413
Oct-96,1.384
Sep-96,1.38
Aug-96,1.386
Jul-96,1.409
Jun-96,1.437
May-96,1.462
Apr-96,1.411
Mar-96,1.32
Feb-96,1.274
Jan-96,1.276
Dec-95,1.255
Nov-95,1.247
Oct-95,1.273
Sep-95,1.298
Aug-95,1.311
Jul-95,1.342
Jun-95,1.379
May-95,1.364
Apr-95,1.295
Mar-95,1.258
Feb-95,1.265
Jan-95,1.275
Dec-94,1.285
Nov-94,